case,method,seed,class_order,curve,final_accuracy,average_incremental_accuracy
case1_balanced,traditional_full_update,0,0 1 2 3 4 5 6 7 8 9,64.4500 31.8000 24.9000 17.9250 15.5400,15.54,30.923000000000002
case1_balanced,traditional_full_update,1,0 1 2 3 4 5 6 7 8 9,71.2000 35.8750 22.9667 16.4875 14.5800,14.58,32.221833333333336
case1_balanced,traditional_full_update,2,0 1 2 3 4 5 6 7 8 9,55.3500 36.4500 25.9500 18.2750 14.5100,14.51,30.107
case1_balanced,traditional_full_update,3,0 1 2 3 4 5 6 7 8 9,67.0000 34.4250 25.7833 16.0625 12.5200,12.52,31.158166666666666
case1_balanced,traditional_full_update,4,0 1 2 3 4 5 6 7 8 9,71.3500 34.5000 25.1167 17.7500 12.8300,12.83,32.309333333333335
case1_balanced,traditional_full_update,5,0 1 2 3 4 5 6 7 8 9,67.7000 36.4750 25.6833 17.5375 14.8200,14.82,32.44316666666667
case1_balanced,traditional_full_update,6,0 1 2 3 4 5 6 7 8 9,71.8500 36.4250 21.6833 17.4750 14.3000,14.3,32.346666666666664
case1_balanced,traditional_full_update,7,0 1 2 3 4 5 6 7 8 9,63.3000 35.9000 24.0667 17.7625 14.5700,14.57,31.119833333333332
case1_balanced,traditional_full_update,8,0 1 2 3 4 5 6 7 8 9,75.4500 36.0750 25.4000 17.7000 14.8700,14.87,33.899
case1_balanced,traditional_full_update,9,0 1 2 3 4 5 6 7 8 9,69.7500 36.1750 22.8333 17.3875 13.7700,13.77,31.983166666666666
case1_balanced,tae15,0,0 1 2 3 4 5 6 7 8 9,65.5500 31.2250 22.3667 17.6250 12.2200,12.22,29.797333333333334
case1_balanced,tae15,1,0 1 2 3 4 5 6 7 8 9,72.4500 35.1000 23.8667 17.1750 11.6200,11.62,32.04233333333333
case1_balanced,tae15,2,0 1 2 3 4 5 6 7 8 9,77.3000 34.8500 23.6833 17.2875 12.9200,12.92,33.20816666666666
case1_balanced,tae15,3,0 1 2 3 4 5 6 7 8 9,57.4500 35.0500 24.4833 17.1875 10.0000,10.0,28.83416666666667
case1_balanced,tae15,4,0 1 2 3 4 5 6 7 8 9,71.3500 31.9500 24.1500 17.7625 10.0600,10.06,31.054499999999997
case1_balanced,tae15,5,0 1 2 3 4 5 6 7 8 9,68.7000 31.1250 24.2000 17.7375 13.3300,13.33,31.0185
case1_balanced,tae15,6,0 1 2 3 4 5 6 7 8 9,69.1500 35.4000 23.0000 15.2750 10.1200,10.12,30.589000000000002
case1_balanced,tae15,7,0 1 2 3 4 5 6 7 8 9,58.1500 33.0250 24.0833 16.4625 13.2000,13.2,28.984166666666667
case1_balanced,tae15,8,0 1 2 3 4 5 6 7 8 9,74.5000 33.9250 24.1167 16.4500 13.7300,13.73,32.544333333333334
case1_balanced,tae15,9,0 1 2 3 4 5 6 7 8 9,74.4000 34.6250 24.2000 17.1375 11.6200,11.62,32.3965
case2_shuffled_long_tail,traditional_full_update,0,7 8 1 5 3 4 2 0 9 6,80.5500 41.8250 19.9667 19.0250 10.0000,10.0,34.27333333333333
case2_shuffled_long_tail,traditional_full_update,1,6 8 9 7 5 3 0 4 1 2,81.7500 25.0250 16.9000 21.0125 16.1200,16.12,32.1615
case2_shuffled_long_tail,traditional_full_update,2,5 9 3 4 6 7 2 8 1 0,50.0000 34.9250 17.7833 12.5000 11.6600,11.66,25.373666666666665
case2_shuffled_long_tail,traditional_full_update,3,1 5 6 0 9 4 7 2 8 3,73.5000 43.9000 16.6667 12.5000 10.0000,10.0,31.313333333333333
case2_shuffled_long_tail,traditional_full_update,4,8 2 0 7 6 9 5 1 4 3,50.0000 25.0000 16.6833 17.0250 12.9700,12.97,24.33566666666667
case2_shuffled_long_tail,traditional_full_update,5,2 3 1 0 8 7 6 5 4 9,58.0500 31.0000 24.1333 15.9750 10.0000,10.0,27.831666666666667
case2_shuffled_long_tail,traditional_full_update,6,5 8 3 4 0 2 6 7 1 9,50.0000 35.4000 25.7000 12.5000 10.0000,10.0,26.72
case2_shuffled_long_tail,traditional_full_update,7,8 3 1 4 7 0 9 6 2 5,50.0000 42.0750 16.6667 12.5000 10.0000,10.0,26.248333333333335
case2_shuffled_long_tail,traditional_full_update,8,8 2 9 4 0 7 1 6 5 3,50.0000 25.0000 17.2000 12.5000 10.0000,10.0,22.94
case2_shuffled_long_tail,traditional_full_update,9,9 8 3 2 0 6 1 4 5 7,50.0500 27.0750 26.7833 12.9000 10.0000,10.0,25.361666666666665
case2_shuffled_long_tail,tae15,0,7 8 1 5 3 4 2 0 9 6,80.2000 35.0500 21.4167 18.8375 10.0400,10.04,33.10883333333334
case2_shuffled_long_tail,tae15,1,6 8 9 7 5 3 0 4 1 2,78.9000 25.0000 16.6333 20.5000 13.6400,13.64,30.93466666666667
case2_shuffled_long_tail,tae15,2,5 9 3 4 6 7 2 8 1 0,50.0000 31.2250 16.6667 12.5000 14.4200,14.42,24.962333333333333
case2_shuffled_long_tail,tae15,3,1 5 6 0 9 4 7 2 8 3,71.8500 44.0000 16.6667 12.5000 10.0000,10.0,31.003333333333334
case2_shuffled_long_tail,tae15,4,8 2 0 7 6 9 5 1 4 3,50.0000 25.0250 16.6667 12.8000 13.3600,13.36,23.570333333333334
case2_shuffled_long_tail,tae15,5,2 3 1 0 8 7 6 5 4 9,54.2500 37.1250 16.9833 12.9625 10.0000,10.0,26.264166666666668
case2_shuffled_long_tail,tae15,6,5 8 3 4 0 2 6 7 1 9,50.0000 33.3000 25.3000 12.5000 10.0000,10.0,26.22
case2_shuffled_long_tail,tae15,7,8 3 1 4 7 0 9 6 2 5,50.0000 40.0500 16.6667 12.5500 10.0000,10.0,25.85333333333333
case2_shuffled_long_tail,tae15,8,8 2 9 4 0 7 1 6 5 3,50.0000 25.0000 16.6667 12.5000 10.0000,10.0,22.833333333333332
case2_shuffled_long_tail,tae15,9,9 8 3 2 0 6 1 4 5 7,50.1000 27.7750 16.7000 18.3750 10.0000,10.0,24.59
