case,study_seed,method,class_order,train_counts,curve,task1_accuracy,task5_accuracy,final_accuracy,average_accuracy
case01,2026,traditional_full_update,0 6 2 3 8 4 7 9 5 1,0:5000 1:500 2:2997 3:2321 4:1391 5:646 6:3871 7:1077 8:1797 9:834,95.7000 40.9500 31.6833 20.6125 18.3900,95.700000,18.390000,18.390000,41.467167
case01,2026,tae_ced_top_p,0 6 2 3 8 4 7 9 5 1,0:5000 1:500 2:2997 3:2321 4:1391 5:646 6:3871 7:1077 8:1797 9:834,95.5500 39.7250 31.2000 23.4000 17.3800,95.550000,17.380000,17.380000,41.451000
case02,2027,traditional_full_update,8 6 4 3 2 5 0 9 7 1,0:1077 1:500 2:1797 3:2321 4:2997 5:1391 6:3871 7:646 8:5000 9:834,97.6000 37.0000 27.0667 22.7875 18.6600,97.600000,18.660000,18.660000,40.622833
case02,2027,tae_ced_top_p,8 6 4 3 2 5 0 9 7 1,0:1077 1:500 2:1797 3:2321 4:2997 5:1391 6:3871 7:646 8:5000 9:834,96.4000 41.7250 26.9000 17.2125 17.5900,96.400000,17.590000,17.590000,39.965500
case03,2028,traditional_full_update,3 7 4 1 9 6 8 0 2 5,0:834 1:2321 2:646 3:5000 4:2997 5:500 6:1391 7:3871 8:1077 9:1797,89.0000 49.0250 32.1333 20.3250 15.6200,89.000000,15.620000,15.620000,41.220667
case03,2028,tae_ced_top_p,3 7 4 1 9 6 8 0 2 5,0:834 1:2321 2:646 3:5000 4:2997 5:500 6:1391 7:3871 8:1077 9:1797,88.7000 48.1000 32.3833 19.2375 13.8600,88.700000,13.860000,13.860000,40.456167
case04,2029,traditional_full_update,0 8 4 6 3 1 5 2 9 7,0:5000 1:1391 2:834 3:1797 4:2997 5:1077 6:2321 7:500 8:3871 9:646,89.0500 43.7750 28.3333 19.8625 18.5400,89.050000,18.540000,18.540000,39.912167
case04,2029,tae_ced_top_p,0 8 4 6 3 1 5 2 9 7,0:5000 1:1391 2:834 3:1797 4:2997 5:1077 6:2321 7:500 8:3871 9:646,88.5500 44.3250 32.0833 18.2750 10.0300,88.550000,10.030000,10.030000,38.652667
case05,2030,traditional_full_update,7 2 1 8 3 0 9 5 6 4,0:1391 1:2997 2:3871 3:1797 4:500 5:834 6:646 7:5000 8:2321 9:1077,89.9500 48.0000 30.3667 23.9000 15.2100,89.950000,15.210000,15.210000,41.485333
case05,2030,tae_ced_top_p,7 2 1 8 3 0 9 5 6 4,0:1391 1:2997 2:3871 3:1797 4:500 5:834 6:646 7:5000 8:2321 9:1077,88.5000 47.4250 30.7833 23.5750 15.3400,88.500000,15.340000,15.340000,41.124667
case06,2031,traditional_full_update,1 0 7 4 3 9 6 8 5 2,0:3871 1:5000 2:500 3:1797 4:2321 5:646 6:1077 7:2997 8:834 9:1391,94.8500 38.1250 30.2333 23.9500 14.8400,94.850000,14.840000,14.840000,40.399667
case06,2031,tae_ced_top_p,1 0 7 4 3 9 6 8 5 2,0:3871 1:5000 2:500 3:1797 4:2321 5:646 6:1077 7:2997 8:834 9:1391,95.3000 35.2250 31.4167 23.7875 10.0000,95.300000,10.000000,10.000000,39.145833
case07,2032,traditional_full_update,5 9 2 4 8 3 6 1 7 0,0:500 1:834 2:2997 3:1391 4:2321 5:5000 6:1077 7:646 8:1797 9:3871,96.0000 37.9000 31.4333 24.3250 18.3700,96.000000,18.370000,18.370000,41.605667
case07,2032,tae_ced_top_p,5 9 2 4 8 3 6 1 7 0,0:500 1:834 2:2997 3:1391 4:2321 5:5000 6:1077 7:646 8:1797 9:3871,97.4000 30.4500 30.6167 23.9250 18.3200,97.400000,18.320000,18.320000,40.142333
case08,2033,traditional_full_update,0 8 9 7 5 4 3 1 2 6,0:5000 1:834 2:646 3:1077 4:1391 5:1797 6:500 7:2321 8:3871 9:2997,90.1000 46.7250 29.6833 23.3500 15.7900,90.100000,15.790000,15.790000,41.129667
case08,2033,tae_ced_top_p,0 8 9 7 5 4 3 1 2 6,0:5000 1:834 2:646 3:1077 4:1391 5:1797 6:500 7:2321 8:3871 9:2997,87.5000 47.9250 28.0667 22.6125 16.4800,87.500000,16.480000,16.480000,40.516833
case09,2034,traditional_full_update,2 3 9 7 0 6 4 8 5 1,0:1797 1:500 2:5000 3:3871 4:1077 5:646 6:1391 7:2321 8:834 9:2997,79.1000 47.3250 31.7333 23.6625 18.2700,79.100000,18.270000,18.270000,40.018167
case09,2034,tae_ced_top_p,2 3 9 7 0 6 4 8 5 1,0:1797 1:500 2:5000 3:3871 4:1077 5:646 6:1391 7:2321 8:834 9:2997,83.6500 47.8250 31.4000 23.3125 10.0000,83.650000,10.000000,10.000000,39.237500
case10,2035,traditional_full_update,9 5 7 6 8 3 0 1 2 4,0:1077 1:834 2:646 3:1391 4:500 5:3871 6:2321 7:2997 8:1797 9:5000,96.4000 46.7250 31.7500 23.1125 14.5700,96.400000,14.570000,14.570000,42.511500
case10,2035,tae_ced_top_p,9 5 7 6 8 3 0 1 2 4,0:1077 1:834 2:646 3:1391 4:500 5:3871 6:2321 7:2997 8:1797 9:5000,95.5000 47.7250 31.2167 19.0625 11.3200,95.500000,11.320000,11.320000,40.964833
